Date,"Tesla, Inc.",S&P 500,Exxon Mobil Corporation,Walmart Inc.,JPMorgan Chase & Co.
2021-09-30,14689.6201171875,4307.5400390625,51.266685485839844,44.11353302001953,147.204345703125
2021-10-01,14791.8701171875,4357.0400390625,53.10572814941406,43.37609100341797,150.29794311523438
2021-10-04,14472.1201171875,4300.4599609375,53.79427719116211,42.958309173583984,150.13604736328125
2021-10-05,14674.150390625,4345.72021484375,53.70711898803711,43.23999786376953,152.58779907226562
2021-10-06,14766.75,4363.5498046875,52.72222900390625,43.556495666503906,152.91346740722656
2021-10-07,14897.1298828125,4399.759765625,52.87039566040039,44.06922149658203,153.8815460205078
2021-10-08,14820.75,4391.33984375,54.19520950317383,44.2021598815918,153.99911499023438
2021-10-11,14713.73046875,4361.18994140625,53.65483474731445,44.16100311279297,150.76028442382812
2021-10-12,14662.1103515625,4350.64990234375,53.37592697143555,44.11353302001953,149.60226440429688
2021-10-13,14774.599609375,4363.7998046875,53.22774124145508,43.793861389160156,145.65777587890625
2021-10-14,15052.419921875,4438.259765625,54.038326263427734,44.268611907958984,147.89239501953125
2021-10-15,15146.919921875,4471.3701171875,54.55256271362305,44.48383712768555,150.73316955566406
2021-10-18,15300.8896484375,4486.4599609375,54.52641296386719,44.84148025512695,150.6788787841797
2021-10-19,15410.7197265625,4519.6298828125,55.345706939697266,45.79414367675781,152.50637817382812
2021-10-20,15388.7099609375,4536.18994140625,55.6507568359375,46.20874786376953,154.56004333496094
2021-10-21,15489.58984375,4549.77978515625,54.63972473144531,46.46512222290039,153.3477325439453
2021-10-22,15355.0703125,4544.89990234375,55.014503479003906,46.9493522644043,155.41046142578125
2021-10-25,15514.1904296875,4566.47998046875,56.0865478515625,47.49373245239258,154.6505126953125
2021-10-26,15559.490234375,4574.7900390625,57.38521194458008,47.07912826538086,155.0666961669922
2021-10-27,15598.3896484375,4551.68017578125,55.89479446411133,46.692989349365234,151.83689880371094
2021-10-28,15778.16015625,4596.419921875,56.05168533325195,46.98417663574219,154.1257781982422
2021-10-29,15850.4697265625,4605.3798828125,56.191139221191406,47.291175842285156,153.70059204101562
2021-11-02,15972.490234375,4630.64990234375,56.49619674682617,47.38612747192383,154.2252960205078
2021-11-03,16144.5,4660.56982421875,55.720481872558594,47.53171157836914,154.2795867919922
2021-11-04,16346.240234375,4680.06005859375,56.13884735107422,47.87986373901367,152.25306701660156
2021-11-05,16359.3798828125,4697.52978515625,56.670509338378906,47.547550201416016,152.03591918945312
2021-11-08,16336.0302734375,4701.7001953125,57.280616760253906,47.24370193481445,152.94969177246094
2021-11-09,16219.9404296875,4685.25,57.83843231201172,47.40827941894531,151.7916717529297
2021-11-10,15985.5703125,4646.7099609375,56.69899368286133,46.98101043701172,151.6468963623047
2021-11-11,16032.4697265625,4649.27001953125,56.80497360229492,47.0,151.6378631591797
